交易日期,曲线名称,交易期限,到期收益率
20250625,中债国债收益率曲线,1.0,1.3652
20250625,中债国债收益率曲线,10.0,1.6544
20250624,中债国债收益率曲线,1.0,1.3627
20250624,中债国债收益率曲线,10.0,1.6480
20250623,中债国债收益率曲线,1.0,1.3552
20250623,中债国债收益率曲线,10.0,1.6418
20250620,中债国债收益率曲线,1.0,1.3552
20250620,中债国债收益率曲线,10.0,1.6396
20250619,中债国债收益率曲线,10.0,1.6425
20250619,中债国债收益率曲线,1.0,1.3642
20250618,中债国债收益率曲线,1.0,1.3602
20250618,中债国债收益率曲线,10.0,1.6384
20250617,中债国债收益率曲线,10.0,1.6364
20250617,中债国债收益率曲线,1.0,1.3702
20250616,中债国债收益率曲线,10.0,1.6432
20250616,中债国债收益率曲线,1.0,1.3987
20250613,中债国债收益率曲线,10.0,1.6440
20250613,中债国债收益率曲线,1.0,1.4002
20250612,中债国债收益率曲线,10.0,1.6475
20250612,中债国债收益率曲线,1.0,1.4052
20250611,中债国债收益率曲线,1.0,1.4052
20250611,中债国债收益率曲线,10.0,1.6420
20250610,中债国债收益率曲线,1.0,1.4077
20250610,中债国债收益率曲线,10.0,1.6569
20250609,中债国债收益率曲线,1.0,1.4102
20250609,中债国债收益率曲线,10.0,1.6559
20250606,中债国债收益率曲线,1.0,1.4102
20250606,中债国债收益率曲线,10.0,1.6547
20250605,中债国债收益率曲线,10.0,1.6741
20250605,中债国债收益率曲线,1.0,1.4352
20250604,中债国债收益率曲线,1.0,1.4527
20250604,中债国债收益率曲线,10.0,1.6704
20250603,中债国债收益率曲线,10.0,1.6764
20250603,中债国债收益率曲线,1.0,1.4627
20250530,中债国债收益率曲线,10.0,1.6712
20250530,中债国债收益率曲线,1.0,1.4552
20250529,中债国债收益率曲线,10.0,1.6877
20250529,中债国债收益率曲线,1.0,1.4783
20250528,中债国债收益率曲线,10.0,1.6832
20250528,中债国债收益率曲线,1.0,1.4628
20250527,中债国债收益率曲线,10.0,1.7261
20250527,中债国债收益率曲线,1.0,1.4649
20250526,中债国债收益率曲线,10.0,1.7201
20250526,中债国债收益率曲线,1.0,1.4581
20250523,中债国债收益率曲线,1.0,1.4481
20250523,中债国债收益率曲线,10.0,1.7208
20250522,中债国债收益率曲线,1.0,1.4495
20250522,中债国债收益率曲线,10.0,1.7186
20250521,中债国债收益率曲线,1.0,1.4496
20250521,中债国债收益率曲线,10.0,1.7100
20250520,中债国债收益率曲线,1.0,1.4483
20250520,中债国债收益率曲线,10.0,1.7004
20250519,中债国债收益率曲线,10.0,1.6893
20250519,中债国债收益率曲线,1.0,1.4429
20250516,中债国债收益率曲线,10.0,1.6793
20250516,中债国债收益率曲线,1.0,1.4508
20250515,中债国债收益率曲线,10.0,1.6798
20250515,中债国债收益率曲线,1.0,1.4385
20250514,中债国债收益率曲线,1.0,1.4228
20250514,中债国债收益率曲线,10.0,1.6736
20250513,中债国债收益率曲线,1.0,1.4131
20250513,中债国债收益率曲线,10.0,1.6704
20250512,中债国债收益率曲线,1.0,1.4232
20250512,中债国债收益率曲线,10.0,1.6880
20250509,中债国债收益率曲线,10.0,1.6351
20250509,中债国债收益率曲线,1.0,1.4194
20250508,中债国债收益率曲线,1.0,1.4149
20250508,中债国债收益率曲线,10.0,1.6331
20250507,中债国债收益率曲线,10.0,1.6418
20250507,中债国债收益率曲线,1.0,1.4474
20250506,中债国债收益率曲线,1.0,1.4624
20250506,中债国债收益率曲线,10.0,1.6298
20250430,中债国债收益率曲线,1.0,1.4599
20250430,中债国债收益率曲线,10.0,1.6243
20250429,中债国债收益率曲线,1.0,1.4550
20250429,中债国债收益率曲线,10.0,1.6241
20250428,中债国债收益率曲线,1.0,1.4601
20250428,中债国债收益率曲线,10.0,1.6483
20250427,中债国债收益率曲线,1.0,1.4501
20250427,中债国债收益率曲线,10.0,1.6607
20250425,中债国债收益率曲线,1.0,1.4501
20250425,中债国债收益率曲线,10.0,1.6606
20250424,中债国债收益率曲线,10.0,1.6640
20250424,中债国债收益率曲线,1.0,1.4532
20250423,中债国债收益率曲线,10.0,1.6611
20250423,中债国债收益率曲线,1.0,1.4513
20250422,中债国债收益率曲线,10.0,1.6509
20250422,中债国债收益率曲线,1.0,1.4432
20250421,中债国债收益率曲线,10.0,1.6664
20250421,中债国债收益率曲线,1.0,1.4480
20250418,中债国债收益率曲线,1.0,1.4300
20250418,中债国债收益率曲线,10.0,1.6493
20250417,中债国债收益率曲线,10.0,1.6522
20250417,中债国债收益率曲线,1.0,1.4301
20250416,中债国债收益率曲线,10.0,1.6430
20250416,中债国债收益率曲线,1.0,1.4178
20250415,中债国债收益率曲线,1.0,1.4228
20250415,中债国债收益率曲线,10.0,1.6583
20250414,中债国债收益率曲线,10.0,1.6584
20250414,中债国债收益率曲线,1.0,1.4153
20250411,中债国债收益率曲线,1.0,1.3978
20250411,中债国债收益率曲线,10.0,1.6568
20250410,中债国债收益率曲线,10.0,1.6444
20250410,中债国债收益率曲线,1.0,1.4128
20250409,中债国债收益率曲线,1.0,1.4328
20250409,中债国债收益率曲线,10.0,1.6508
20250408,中债国债收益率曲线,10.0,1.6633
20250408,中债国债收益率曲线,1.0,1.4779
20250407,中债国债收益率曲线,1.0,1.4429
20250407,中债国债收益率曲线,10.0,1.6318
20250403,中债国债收益率曲线,1.0,1.4829
20250403,中债国债收益率曲线,10.0,1.7180
20250402,中债国债收益率曲线,1.0,1.5404
20250402,中债国债收益率曲线,10.0,1.7887
20250401,中债国债收益率曲线,10.0,1.8104
20250401,中债国债收益率曲线,1.0,1.5454
20250331,中债国债收益率曲线,1.0,1.5379
20250331,中债国债收益率曲线,10.0,1.8129
20250328,中债国债收益率曲线,1.0,1.5279
20250328,中债国债收益率曲线,10.0,1.8126
20250327,中债国债收益率曲线,1.0,1.5279
20250327,中债国债收益率曲线,10.0,1.8062
20250326,中债国债收益率曲线,1.0,1.5279
20250326,中债国债收益率曲线,10.0,1.7943
20250325,中债国债收益率曲线,1.0,1.5404
20250325,中债国债收益率曲线,10.0,1.8183
20250324,中债国债收益率曲线,10.0,1.8413
20250324,中债国债收益率曲线,1.0,1.5354
20250321,中债国债收益率曲线,10.0,1.8458
20250321,中债国债收益率曲线,1.0,1.5579
20250320,中债国债收益率曲线,10.0,1.8309
20250320,中债国债收益率曲线,1.0,1.5629
20250319,中债国债收益率曲线,1.0,1.5879
20250319,中债国债收益率曲线,10.0,1.8708
20250318,中债国债收益率曲线,10.0,1.8885
20250318,中债国债收益率曲线,1.0,1.5879
20250317,中债国债收益率曲线,10.0,1.8957
20250317,中债国债收益率曲线,1.0,1.5879
20250314,中债国债收益率曲线,10.0,1.8317
20250314,中债国债收益率曲线,1.0,1.5629
20250313,中债国债收益率曲线,10.0,1.8565
20250313,中债国债收益率曲线,1.0,1.5779
20250312,中债国债收益率曲线,10.0,1.8334
20250312,中债国债收益率曲线,1.0,1.5779
20250311,中债国债收益率曲线,1.0,1.5823
20250311,中债国债收益率曲线,10.0,1.8853
20250310,中债国债收益率曲线,1.0,1.5497
20250310,中债国债收益率曲线,10.0,1.8128
20250307,中债国债收益率曲线,1.0,1.5547
20250307,中债国债收益率曲线,10.0,1.8002
20250306,中债国债收益率曲线,1.0,1.4697
20250306,中债国债收益率曲线,10.0,1.7455
20250305,中债国债收益率曲线,10.0,1.7083
20250305,中债国债收益率曲线,1.0,1.4447
20250304,中债国债收益率曲线,10.0,1.7079
20250304,中债国债收益率曲线,1.0,1.4397
20250303,中债国债收益率曲线,1.0,1.4322
20250303,中债国债收益率曲线,10.0,1.6955
20250228,中债国债收益率曲线,1.0,1.4597
20250228,中债国债收益率曲线,10.0,1.7152
20250227,中债国债收益率曲线,1.0,1.4974
20250227,中债国债收益率曲线,10.0,1.7576
20250226,中债国债收益率曲线,1.0,1.4537
20250226,中债国债收益率曲线,10.0,1.7251
20250225,中债国债收益率曲线,1.0,1.4671
20250225,中债国债收益率曲线,10.0,1.7275
20250224,中债国债收益率曲线,1.0,1.4802
20250224,中债国债收益率曲线,10.0,1.7625
20250221,中债国债收益率曲线,1.0,1.4797
20250221,中债国债收益率曲线,10.0,1.7200
20250220,中债国债收益率曲线,1.0,1.4758
20250220,中债国债收益率曲线,10.0,1.6850
20250219,中债国债收益率曲线,1.0,1.4619
20250219,中债国债收益率曲线,10.0,1.6626
20250218,中债国债收益率曲线,1.0,1.4580
20250218,中债国债收益率曲线,10.0,1.7006
20250217,中债国债收益率曲线,1.0,1.4190
20250217,中债国债收益率曲线,10.0,1.6934
20250214,中债国债收益率曲线,1.0,1.3795
20250214,中债国债收益率曲线,10.0,1.6546
20250213,中债国债收益率曲线,1.0,1.2846
20250213,中债国债收益率曲线,10.0,1.6346
20250212,中债国债收益率曲线,1.0,1.2671
20250212,中债国债收益率曲线,10.0,1.6336
20250211,中债国债收益率曲线,1.0,1.2667
20250211,中债国债收益率曲线,10.0,1.6274
20250210,中债国债收益率曲线,1.0,1.2582
20250210,中债国债收益率曲线,10.0,1.6342
20250208,中债国债收益率曲线,1.0,1.2271
20250208,中债国债收益率曲线,10.0,1.6057
20250207,中债国债收益率曲线,1.0,1.2229
20250207,中债国债收益率曲线,10.0,1.6032
20250206,中债国债收益率曲线,1.0,1.2100
20250206,中债国债收益率曲线,10.0,1.5958
20250205,中债国债收益率曲线,1.0,1.2599
20250205,中债国债收益率曲线,10.0,1.6207
20250127,中债国债收益率曲线,1.0,1.3036
20250127,中债国债收益率曲线,10.0,1.6299
20250126,中债国债收益率曲线,1.0,1.3474
20250126,中债国债收益率曲线,10.0,1.6537
20250124,中债国债收益率曲线,1.0,1.3399
20250124,中债国债收益率曲线,10.0,1.6565
20250123,中债国债收益率曲线,1.0,1.3099
20250123,中债国债收益率曲线,10.0,1.6645
20250122,中债国债收益率曲线,1.0,1.2850
20250122,中债国债收益率曲线,10.0,1.6602
20250121,中债国债收益率曲线,1.0,1.2850
20250121,中债国债收益率曲线,10.0,1.6496
20250120,中债国债收益率曲线,1.0,1.3000
20250120,中债国债收益率曲线,10.0,1.6747
20250117,中债国债收益率曲线,1.0,1.2617
20250117,中债国债收益率曲线,10.0,1.6593
20250116,中债国债收益率曲线,1.0,1.2217
20250116,中债国债收益率曲线,10.0,1.6394
20250115,中债国债收益率曲线,1.0,1.2061
20250115,中债国债收益率曲线,10.0,1.6330
20250114,中债国债收益率曲线,1.0,1.2161
20250114,中债国债收益率曲线,10.0,1.6446
20250113,中债国债收益率曲线,1.0,1.2361
20250113,中债国债收益率曲线,10.0,1.6592
20250110,中债国债收益率曲线,1.0,1.1961
20250110,中债国债收益率曲线,10.0,1.6338
20250109,中债国债收益率曲线,1.0,1.1700
20250109,中债国债收益率曲线,10.0,1.6368
20250108,中债国债收益率曲线,1.0,1.1200
20250108,中债国债收益率曲线,10.0,1.6069
20250107,中债国债收益率曲线,1.0,1.0800
20250107,中债国债收益率曲线,10.0,1.6093
20250106,中债国债收益率曲线,1.0,1.0391
20250106,中债国债收益率曲线,10.0,1.5966
20250103,中债国债收益率曲线,1.0,1.0177
20250103,中债国债收益率曲线,10.0,1.6041
20250102,中债国债收益率曲线,1.0,1.0693
20250102,中债国债收益率曲线,10.0,1.6077
20241231,中债国债收益率曲线,1.0,1.0843
20241231,中债国债收益率曲线,10.0,1.6752
20241230,中债国债收益率曲线,1.0,1.1093
20241230,中债国债收益率曲线,10.0,1.7128
20241227,中债国债收益率曲线,1.0,1.0393
20241227,中债国债收益率曲线,10.0,1.6929
20241226,中债国债收益率曲线,1.0,1.0157
20241226,中债国债收益率曲线,10.0,1.7122
20241225,中债国债收益率曲线,1.0,0.9907
20241225,中债国债收益率曲线,10.0,1.7365
20241224,中债国债收益率曲线,1.0,0.9307
20241224,中债国债收益率曲线,10.0,1.7166
20241223,中债国债收益率曲线,1.0,0.9307
20241223,中债国债收益率曲线,10.0,1.7019
20241220,中债国债收益率曲线,1.0,0.9807
20241220,中债国债收益率曲线,10.0,1.7018
20241219,中债国债收益率曲线,1.0,1.0432
20241219,中债国债收益率曲线,10.0,1.7417
20241218,中债国债收益率曲线,1.0,1.0782
20241218,中债国债收益率曲线,10.0,1.7564
20241217,中债国债收益率曲线,1.0,1.1081
20241217,中债国债收益率曲线,10.0,1.7237
20241216,中债国债收益率曲线,1.0,1.1182
20241216,中债国债收益率曲线,10.0,1.7215
20241213,中债国债收益率曲线,1.0,1.1582
20241213,中债国债收益率曲线,10.0,1.7771
20241212,中债国债收益率曲线,1.0,1.2142
20241212,中债国债收益率曲线,10.0,1.8172
20241211,中债国债收益率曲线,1.0,1.2782
20241211,中债国债收益率曲线,10.0,1.8218
20241210,中债国债收益率曲线,1.0,1.3087
20241210,中债国债收益率曲线,10.0,1.8468
20241209,中债国债收益率曲线,1.0,1.3482
20241209,中债国债收益率曲线,10.0,1.9168
20241206,中债国债收益率曲线,1.0,1.3485
20241206,中债国债收益率曲线,10.0,1.9539
20241205,中债国债收益率曲线,1.0,1.3479
20241205,中债国债收益率曲线,10.0,1.9462
20241204,中债国债收益率曲线,1.0,1.3432
20241204,中债国债收益率曲线,10.0,1.9612
20241203,中债国债收益率曲线,1.0,1.3491
20241203,中债国债收益率曲线,10.0,1.9886
20241202,中债国债收益率曲线,1.0,1.3500
20241202,中债国债收益率曲线,10.0,1.9810
20241129,中债国债收益率曲线,1.0,1.3698
20241129,中债国债收益率曲线,10.0,2.0206
20241128,中债国债收益率曲线,1.0,1.3777
20241128,中债国债收益率曲线,10.0,2.0304
20241127,中债国债收益率曲线,1.0,1.3845
20241127,中债国债收益率曲线,10.0,2.0553
20241126,中债国债收益率曲线,1.0,1.3856
20241126,中债国债收益率曲线,10.0,2.0657
20241125,中债国债收益率曲线,1.0,1.3603
20241125,中债国债收益率曲线,10.0,2.0682
20241122,中债国债收益率曲线,1.0,1.3504
20241122,中债国债收益率曲线,10.0,2.0832
20241121,中债国债收益率曲线,1.0,1.3479
20241121,中债国债收益率曲线,10.0,2.0843
20241120,中债国债收益率曲线,1.0,1.3480
20241120,中债国债收益率曲线,10.0,2.1025
20241119,中债国债收益率曲线,1.0,1.3579
20241119,中债国债收益率曲线,10.0,2.0947
20241118,中债国债收益率曲线,1.0,1.3703
20241118,中债国债收益率曲线,10.0,2.1117
20241115,中债国债收益率曲线,1.0,1.3875
20241115,中债国债收益率曲线,10.0,2.0948
20241114,中债国债收益率曲线,1.0,1.3910
20241114,中债国债收益率曲线,10.0,2.0808
20241113,中债国债收益率曲线,1.0,1.4028
20241113,中债国债收益率曲线,10.0,2.0876
20241112,中债国债收益率曲线,1.0,1.4008
20241112,中债国债收益率曲线,10.0,2.0729
20241111,中债国债收益率曲线,1.0,1.4032
20241111,中债国债收益率曲线,10.0,2.0920
20241108,中债国债收益率曲线,1.0,1.4062
20241108,中债国债收益率曲线,10.0,2.1067
