id,交易日期,指标代码,指标名称,指标单位,指标频率,指标数值,更新时间
c7cac3c9-f2b4-4e87-910e-dc6938dfedf0,20220831,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,10.9,2025-01-02 14:04:23.799801
38fde5c7-14a2-47df-ba49-15e5c6c14cdc,20220930,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.2,2025-01-02 14:04:23.799801
a4261045-3716-4e1b-96c7-6822eb4c9a88,20220930,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,103558.5404,2025-01-02 14:04:23.799801
84bd73ee-ac41-4464-a64f-ce7dd782346f,20230430,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.8,2025-01-02 14:04:23.799801
d211fedc-0158-49fb-ae7c-83b6967c5dea,20230531,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.4,2025-01-02 14:04:23.799801
860e9d4d-0cec-417f-a035-85dbe7d26a52,20230531,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,45701.2529,2025-01-02 14:04:23.799801
89d53496-a0ed-4345-856d-b6daee8ead17,20230630,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,58549.8592,2025-01-02 14:04:23.799801
8821f497-238b-4144-8b36-6abff2a2e2ba,20230630,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.3,2025-01-02 14:04:23.799801
76ebf4dc-cd2f-4ad4-a531-a62235cb6fd5,20230731,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.1,2025-01-02 14:04:23.799801
95254081-d9ab-49fc-a7ac-47229d887ba2,20230731,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,67717.1307,2025-01-02 14:04:23.799801
3ef7f96e-912c-4496-90cb-debfdf3a76ff,20230831,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,11.1,2025-01-02 14:04:23.799801
82e849c1-24a5-4666-a414-db604880abea,20230831,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,76899.9658,2025-01-02 14:04:23.799801
9a0d9975-1842-43cc-b260-2f09bcda59e1,20230930,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,87269.1949,2025-01-02 14:04:23.799801
a94e247c-d82e-4580-894a-52d35cfe7d04,20230930,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,10.9,2025-01-02 14:04:23.799801
66a6b685-60d4-4adc-b62e-7569c6c1e954,20231031,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,95921.7769,2025-01-02 14:04:23.799801
ce29d299-6cc2-467f-96fd-8b3bc4228551,20231031,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,10.9,2025-01-02 14:04:23.799801
8ed3d1cd-6f91-4e1e-9046-7eb56ada46ce,20231130,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,10.8,2025-01-02 14:04:23.799801
9e82d26a-642c-4c0d-bfcf-5299c33dd191,20231130,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,104045.4345,2025-01-02 14:04:23.799801
78796493-4abe-4946-94d7-8580fa330bf9,20231231,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,10.6,2025-01-02 14:04:23.799801
88970cb5-1ecf-485d-b5a6-fe8a7cfbbd92,20231231,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,110912.8786,2025-01-02 14:04:23.799801
5c2aae75-e87d-4eec-bfed-697380d46049,20240229,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,11841.7253,2025-01-02 14:04:23.799801
e66b14ec-1d78-44e6-85e7-6f16cfae9c4e,20240229,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,10.1,2025-01-02 14:04:23.799801
94ba8b86-13f0-4f11-91f3-7f713776b2aa,20240331,M0009970,中国:金融机构:各项贷款余额:人民币:同比,%,月,9.6,2025-01-02 14:04:23.799801
e6735388-b3c2-4c25-ab83-2956b5089d0f,20240331,S0029656,中国:房地产开发投资完成额:累计值,亿元,月,22082.3728,2025-01-02 14:04:23.799801
