交易日期,景气成长股票池,细分龙头股票池,中性股息股票池,沪深300,中证红利全收益
20090430,1.000000,1.000000,1.000000,1.000000,1.000000
20090504,1.011664,1.024239,1.000000,1.034837,1.044244
20090505,1.017599,1.038358,1.000000,1.039684,1.048969
20090506,1.042924,1.036688,1.000000,1.054158,1.066823
20090507,1.014300,1.012520,1.000000,1.054958,1.061896
20090508,1.011367,1.010534,1.000000,1.063400,1.057501
20090511,0.994471,0.989688,1.000000,1.039037,1.025931
20090512,1.010322,0.994944,1.000000,1.063149,1.057065
20090513,1.014617,0.992459,1.000000,1.072850,1.067835
20090514,1.032939,1.003270,1.000000,1.064688,1.066904
20090515,1.064602,0.994125,1.000000,1.066029,1.067018
20090518,1.047614,0.991876,1.000000,1.071541,1.081230
20090519,1.058150,0.995358,1.000000,1.082792,1.093606
20090520,1.031621,0.984035,1.000000,1.072415,1.088142
20090521,1.011861,0.958952,1.000000,1.048451,1.065530
20090522,1.009227,0.958976,1.000000,1.044893,1.059545
20090525,1.012230,0.962943,1.000000,1.049483,1.063259
20090526,1.022946,0.973707,1.000000,1.036920,1.050640
20090527,1.025939,0.980097,1.000000,1.052150,1.059411
20090601,1.051152,1.003689,1.000000,1.089753,1.091857
20090602,1.045561,1.006922,1.000000,1.092329,1.102666
20090603,1.043117,1.014453,1.000000,1.120652,1.120531
20090604,1.052085,1.011882,1.000000,1.126128,1.127840
20090605,1.056768,0.992927,1.000000,1.120621,1.122256
20090608,1.039690,0.981306,1.000000,1.124118,1.112240
20090609,1.032587,0.988665,1.000000,1.128723,1.109562
20090610,1.051712,1.008562,1.000000,1.139794,1.127111
20090611,1.041196,1.010275,1.000000,1.129132,1.113433
20090612,1.027495,0.988513,1.000000,1.108032,1.090813
20090615,1.041641,0.991723,1.000000,1.130871,1.094419
20090616,1.031664,0.999300,1.000000,1.128976,1.095226
20090617,1.053036,1.019673,1.000000,1.147798,1.110256
20090618,1.076902,1.018613,1.000000,1.165655,1.120353
20090619,1.106263,1.035806,1.000000,1.174261,1.123562
20090622,1.094812,1.025588,1.000000,1.175238,1.123150
20090623,1.074774,1.010823,1.000000,1.175746,1.130862
20090624,1.083734,1.023388,1.000000,1.189790,1.163160
20090625,1.080624,1.027532,1.000000,1.188719,1.158787
20090626,1.098931,1.038824,1.000000,1.192722,1.158121
20090629,1.088997,1.030670,1.000000,1.212376,1.173401
20090630,1.074170,1.023406,1.000000,1.207230,1.160252
20090701,1.100022,1.061214,1.000000,1.234462,1.179045
20090702,1.125677,1.068795,1.000000,1.251411,1.190178
20090703,1.131191,1.079123,1.000000,1.268482,1.201086
20090706,1.150957,1.113963,1.000000,1.286637,1.232720
20090707,1.148501,1.125287,1.000000,1.273575,1.230176
20090708,1.142699,1.116679,1.000000,1.278065,1.242022
20090709,1.164879,1.143688,1.000000,1.294853,1.265819
20090710,1.165918,1.145993,1.000000,1.295618,1.265683
20090713,1.171260,1.140991,1.000000,1.281398,1.253630
20090714,1.178581,1.155555,1.000000,1.317137,1.287249
20090715,1.185650,1.153532,1.000000,1.331835,1.324182
20090716,1.169948,1.140442,1.000000,1.334860,1.321945
20090717,1.171592,1.137954,1.000000,1.341940,1.342948
20090720,1.208696,1.194839,1.000000,1.369129,1.380931
20090721,1.208584,1.201853,1.000000,1.349574,1.349766
20090722,1.200375,1.199211,1.000000,1.375153,1.378461
20090723,1.195150,1.203571,1.000000,1.392326,1.388870
20090724,1.198705,1.206782,1.000000,1.398269,1.397516
20090727,1.213911,1.216585,1.000000,1.427271,1.437554
20090728,1.212820,1.209285,1.000000,1.431919,1.459798
20090729,1.131998,1.133818,1.000000,1.356694,1.379663
20090730,1.125231,1.139729,1.000000,1.385787,1.406106
20090731,1.153011,1.166638,1.000000,1.423838,1.460247
20090803,1.159537,1.187846,1.000000,1.443820,1.517072
20090804,1.156501,1.194506,1.000000,1.443661,1.540954
20090805,1.181480,1.217695,1.000000,1.426245,1.522066
20090806,1.165211,1.211201,1.000000,1.396578,1.470112
20090807,1.139622,1.209504,1.000000,1.355393,1.408305
20090810,1.173982,1.267045,1.000000,1.351368,1.422091
20090811,1.177113,1.287817,1.000000,1.355881,1.423879
20090812,1.149880,1.272090,1.000000,1.295271,1.347430
20090813,1.146539,1.242529,1.000000,1.311825,1.362617
20090814,1.085821,1.211359,1.000000,1.275088,1.321779
20090817,1.019299,1.148983,1.000000,1.197240,1.226927
20090818,1.034412,1.159154,1.000000,1.209331,1.255492
20090819,1.000012,1.137173,1.000000,1.149315,1.182847
20090820,1.026032,1.172457,1.000000,1.198810,1.230465
20090821,1.052010,1.227941,1.000000,1.221393,1.262923
20090824,1.090784,1.266413,1.000000,1.231297,1.281841
20090825,1.088138,1.288607,1.000000,1.185634,1.243870
20090826,1.097456,1.290200,1.000000,1.209484,1.271670
20090827,1.132598,1.299003,1.000000,1.203351,1.266064
20090828,1.107580,1.262524,1.000000,1.161596,1.219252
20090831,1.056406,1.201687,1.000000,1.079051,1.121566
20090901,1.053623,1.170377,0.978109,1.084171,1.110618
