交易日期,证券代码,证券简称,日换手率,市盈率
20250321,000300.SH,沪深300,0.5087,12.5449
20250320,000300.SH,沪深300,0.4101,12.7014
20250319,000300.SH,沪深300,0.4428,12.8486
20250318,000300.SH,沪深300,0.4299,12.827
20250317,000300.SH,沪深300,0.4974,12.8162
20250314,000300.SH,沪深300,0.6628,12.8186
20250313,000300.SH,沪深300,0.4809,12.5424
20250312,000300.SH,沪深300,0.4815,12.557
20250311,000300.SH,沪深300,0.4447,12.6012
20250310,000300.SH,沪深300,0.4693,12.5548
20250307,000300.SH,沪深300,0.5121,12.6217
20250306,000300.SH,沪深300,0.5958,12.6516
20250305,000300.SH,沪深300,0.4873,12.5358
20250304,000300.SH,沪深300,0.4603,12.4462
20250303,000300.SH,沪深300,0.5445,12.5359
20250321,000852.SH,中证1000,2.633,38.8012
20250320,000852.SH,中证1000,2.3833,39.5426
20250319,000852.SH,中证1000,2.2576,39.6952
20250318,000852.SH,中证1000,2.4124,39.9604
20250317,000852.SH,中证1000,2.5908,39.5801
20250314,000852.SH,中证1000,2.8366,39.7134
20250313,000852.SH,中证1000,2.7391,39.1041
20250312,000852.SH,中证1000,2.8918,39.7215
20250311,000852.SH,中证1000,2.5916,39.7337
20250310,000852.SH,中证1000,2.6333,39.598
20250307,000852.SH,中证1000,3.1711,39.5967
20250306,000852.SH,中证1000,3.0856,39.7388
20250305,000852.SH,中证1000,2.4533,39.0214
20250304,000852.SH,中证1000,2.3567,38.7676
20250303,000852.SH,中证1000,2.7421,38.3311
20250303,399370.SZ,国证成长,1.2078,20.2996
20250304,399370.SZ,国证成长,1.0506,20.2098
20250305,399370.SZ,国证成长,1.021,20.2136
20250306,399370.SZ,国证成长,1.2504,20.5414
20250307,399370.SZ,国证成长,1.2975,20.5168
20250310,399370.SZ,国证成长,1.1446,20.5118
20250311,399370.SZ,国证成长,1.162,20.6032
20250312,399370.SZ,国证成长,1.1022,20.5681
20250313,399370.SZ,国证成长,1.3128,20.5154
20250314,399370.SZ,国证成长,1.441,21.0042
20250317,399370.SZ,国证成长,1.1001,20.8889
20250318,399370.SZ,国证成长,1.0262,20.9369
20250319,399370.SZ,国证成长,0.9108,20.9185
20250320,399370.SZ,国证成长,0.8954,20.8024
20250321,399370.SZ,国证成长,1.0666,20.4455
20250303,399371.SZ,国证价值,0.5501,8.8011
20250304,399371.SZ,国证价值,0.4395,8.7621
20250305,399371.SZ,国证价值,0.5222,8.8461
20250306,399371.SZ,国证价值,0.6152,8.8566
20250307,399371.SZ,国证价值,0.5934,8.8569
20250310,399371.SZ,国证价值,0.4994,8.8062
20250311,399371.SZ,国证价值,0.4658,8.8469
20250312,399371.SZ,国证价值,0.4899,8.8069
20250313,399371.SZ,国证价值,0.5764,8.8433
20250314,399371.SZ,国证价值,0.7054,8.9789
20250317,399371.SZ,国证价值,0.5739,9.0155
20250318,399371.SZ,国证价值,0.4647,9.0182
20250319,399371.SZ,国证价值,0.4866,9.0478
20250320,399371.SZ,国证价值,0.463,8.9802
20250321,399371.SZ,国证价值,0.5735,8.9344
20250328,000300.SH,沪深300,0.3874,12.4347
20250324,000300.SH,沪深300,0.4668,12.5521
20250324,000852.SH,中证1000,2.6477,38.6235
20250324,399370.SZ,国证成长,1.0276,20.323
20250324,399371.SZ,国证价值,0.5441,8.9565
20250402,000300.SH,沪深300,0.3466,12.4376
20250402,000852.SH,中证1000,1.6352,38.1766
20250402,399370.SZ,国证成长,0.6429,20.0998
20250516,932000.CSI,中证2000,3.7931,135.0438
20250402,399371.SZ,国证价值,0.4383,8.9311
20250402,881001.WI,万得全A,1.1532,18.5647
20250325,000300.SH,沪深300,0.4307,12.5462
20250402,932000.CSI,中证2000,3.13,94.6088
20250325,000852.SH,中证1000,2.38,38.3899
20250403,000300.SH,沪深300,0.4372,12.4221
20250325,399370.SZ,国证成长,0.9202,20.2076
20250403,000852.SH,中证1000,1.886,37.9573
20250403,399370.SZ,国证成长,0.8355,19.8734
20250603,000300.SH,沪深300,0.4025,12.5011
20250325,399371.SZ,国证价值,0.4849,9.0124
20250403,399371.SZ,国证价值,0.4627,8.9517
20250326,000300.SH,沪深300,0.4022,12.5019
20250327,000300.SH,沪深300,0.3888,12.5328
20250327,000852.SH,中证1000,2.0434,38.6658
20250326,000852.SH,中证1000,2.1233,38.5162
20250328,000852.SH,中证1000,2.019,38.3789
20250326,399370.SZ,国证成长,0.8761,20.1937
20250327,399370.SZ,国证成长,0.8661,20.3282
20250328,399370.SZ,国证成长,0.8114,20.2557
20250327,399371.SZ,国证价值,0.445,8.9819
20250326,399371.SZ,国证价值,0.468,8.9721
20250328,399371.SZ,国证价值,0.4662,8.9107
20250403,881001.WI,万得全A,1.3165,18.4943
20250603,000852.SH,中证1000,1.956,39.5554
20250403,932000.CSI,中证2000,3.4556,94.419
20250407,000300.SH,沪深300,0.9584,11.6708
20250407,000852.SH,中证1000,2.8462,33.7857
20250407,399370.SZ,国证成长,1.6632,18.2204
20250407,399371.SZ,国证价值,0.9503,8.4678
20250407,881001.WI,万得全A,1.9886,16.9682
20250407,932000.CSI,中证2000,4.1265,82.1802
20250418,000300.SH,沪深300,0.3156,12.2633
20250418,000852.SH,中证1000,1.6892,36.3679
20250418,399370.SZ,国证成长,0.5853,19.0433
20250418,399371.SZ,国证价值,0.339,8.9428
20250418,881001.WI,万得全A,1.2149,17.9694
20250418,932000.CSI,中证2000,3.4014,87.9326
20250414,000300.SH,沪深300,0.5041,12.1405
20250414,000852.SH,中证1000,2.225,36.6474
20250414,399370.SZ,国证成长,1.0645,19.2058
20250414,399371.SZ,国证价值,0.4981,8.7532
20250414,881001.WI,万得全A,1.5782,17.9491
20250414,932000.CSI,中证2000,4.0582,88.5566
20250516,000300.SH,沪深300,0.3626,12.5611
20250516,000852.SH,中证1000,1.8046,39.3408
20250516,399370.SZ,国证成长,0.7125,19.8519
20250516,399371.SZ,国证价值,0.4325,9.2216
20250516,881001.WI,万得全A,1.343,19.0456
