交易日期,证券代码,利率,期限
20190104,SHIBORON.IR,1.649,O/N
20190107,SHIBOR1M.IR,2.909,1M
20190107,SHIBOR1W.IR,2.475,1W
20190107,SHIBOR1Y.IR,3.466,1Y
20190107,SHIBOR2W.IR,2.541,2W
20190107,SHIBOR3M.IR,3.141,3M
20190107,SHIBOR6M.IR,3.233,6M
20190107,SHIBOR9M.IR,3.415,9M
20190107,SHIBORON.IR,1.447,O/N
20190108,SHIBOR1M.IR,2.825,1M
20190108,SHIBOR1W.IR,2.372,1W
20190108,SHIBOR1Y.IR,3.431,1Y
20190108,SHIBOR2W.IR,2.487,2W
20190108,SHIBOR3M.IR,3.093,3M
20190108,SHIBOR6M.IR,3.206,6M
20190108,SHIBOR9M.IR,3.384,9M
20190108,SHIBORON.IR,1.414,O/N
20190109,SHIBOR1M.IR,2.79,1M
20190109,SHIBOR1W.IR,2.475,1W
20190109,SHIBOR1Y.IR,3.401,1Y
20190109,SHIBOR2W.IR,2.477,2W
20190109,SHIBOR3M.IR,3.065,3M
20190109,SHIBOR6M.IR,3.184,6M
20190109,SHIBOR9M.IR,3.354,9M
20190109,SHIBORON.IR,1.567,O/N
20190110,SHIBOR1M.IR,2.781,1M
20190110,SHIBOR1W.IR,2.587,1W
20190110,SHIBOR1Y.IR,3.377,1Y
20190110,SHIBOR2W.IR,2.502,2W
20190110,SHIBOR3M.IR,3.031,3M
20190110,SHIBOR6M.IR,3.149,6M
20190110,SHIBOR9M.IR,3.321,9M
20190110,SHIBORON.IR,1.743,O/N
20190111,SHIBOR1M.IR,2.772,1M
20190111,SHIBOR1W.IR,2.555,1W
20190111,SHIBOR1Y.IR,3.35,1Y
20190111,SHIBOR2W.IR,2.515,2W
20190111,SHIBOR3M.IR,3.007,3M
20190111,SHIBOR6M.IR,3.12,6M
20190111,SHIBOR9M.IR,3.296,9M
20190111,SHIBORON.IR,1.708,O/N
20190114,SHIBOR1M.IR,2.775,1M
20190114,SHIBOR1W.IR,2.629,1W
20190114,SHIBOR1Y.IR,3.337,1Y
20190114,SHIBOR2W.IR,2.541,2W
20190114,SHIBOR3M.IR,2.984,3M
20190114,SHIBOR6M.IR,3.106,6M
20190114,SHIBOR9M.IR,3.284,9M
20190114,SHIBORON.IR,1.878,O/N
20190115,SHIBOR1M.IR,2.777,1M
20190115,SHIBOR1W.IR,2.652,1W
20190115,SHIBOR1Y.IR,3.324,1Y
20190115,SHIBOR2W.IR,2.57,2W
20190115,SHIBOR3M.IR,2.962,3M
20190115,SHIBOR6M.IR,3.094,6M
20190115,SHIBOR9M.IR,3.271,9M
20190115,SHIBORON.IR,2.245,O/N
20190116,SHIBOR1M.IR,2.777,1M
20190116,SHIBOR1W.IR,2.64,1W
20190116,SHIBOR1Y.IR,3.314,1Y
20190116,SHIBOR2W.IR,2.576,2W
20190116,SHIBOR3M.IR,2.942,3M
20190116,SHIBOR6M.IR,3.079,6M
20190116,SHIBOR9M.IR,3.262,9M
20190116,SHIBORON.IR,2.306,O/N
20190117,SHIBOR1M.IR,2.777,1M
20190117,SHIBOR1W.IR,2.611,1W
20190117,SHIBOR1Y.IR,3.304,1Y
20190117,SHIBOR2W.IR,2.569,2W
20190117,SHIBOR3M.IR,2.93,3M
20190117,SHIBOR6M.IR,3.066,6M
20190117,SHIBOR9M.IR,3.257,9M
20190117,SHIBORON.IR,2.259,O/N
20190118,SHIBOR1M.IR,2.777,1M
20190118,SHIBOR1W.IR,2.618,1W
20190118,SHIBOR1Y.IR,3.302,1Y
20190118,SHIBOR2W.IR,2.558,2W
20190118,SHIBOR3M.IR,2.918,3M
20190118,SHIBOR6M.IR,3.061,6M
20190118,SHIBOR9M.IR,3.248,9M
20190118,SHIBORON.IR,2.1785,O/N
20190121,SHIBOR1M.IR,2.786,1M
20190121,SHIBOR1W.IR,2.594,1W
20190121,SHIBOR1Y.IR,3.3,1Y
20190121,SHIBOR2W.IR,2.637,2W
20190121,SHIBOR3M.IR,2.915,3M
20190121,SHIBOR6M.IR,3.055,6M
20190121,SHIBOR9M.IR,3.241,9M
20190121,SHIBORON.IR,2.24,O/N
20190122,SHIBOR1M.IR,2.797,1M
20190122,SHIBOR1W.IR,2.578,1W
